,id,full_text,user,created_at,favorite_count,retweet_count,url,hashtags
994,doc_995,goe pawley’ island pier send safe dri bore wish everybodi hurricaneian iansc imag pawley island polic,miss fidget,2022-09-30 17:52:11+00:00,3,0,https://twitter.com/missfidget/status/1575906365876293632/photo/1,"['hurricaneian', 'iansc']"
995,doc_996,ohhh nooo…just look live feed southcarolina amp look like hurricaneian slam hard hope wouldn’t hit hard florida look like hurrican hit pretti darn hard staysaf thinkingofy,❤️lisa❤️,2022-09-30 17:52:07+00:00,5,0,https://twitter.com/floridalove/status/1575906349073973249/photo/1,"['southcarolina', 'hurricaneian', 'hurricane', 'staysafe', 'thinkingofyou']"
996,doc_997,weve stage around soldier amp airmen abingdon roanok richmond amp va beach area possibl sever weather respons oper relat hurricaneian theyr prepar provid high mobil transport amp debri reduct assist,virginia national guard,2022-09-30 17:52:07+00:00,1,3,,['hurricaneian']
997,doc_998,heart mani friend cowork famili amp commun impact hurricaneian team continu make repair quickli possibl keep employe safeti top prioriti,lumen,2022-09-30 17:51:50+00:00,3,4,https://twitter.com/lumentechco/status/1575906281117798405/photo/1,['hurricaneian']
998,doc_999,tri watch hurricaneian coverag shitbrain biden pop 🤬,jößęph⛳️,2022-09-30 17:51:48+00:00,1,0,,"['hurricaneian', 'biden']"
999,doc_1000,water level myrtl beach sc reach normal high tide ahead hurricaneian landfal thirdhighest water level record noaa resourc realtim water level meteorolog data ian,noaa's ocean service,2022-09-30 17:51:41+00:00,6,11,https://twitter.com/noaaocean/status/1575906242911907840/photo/1,"['hurricaneian', 'ian']"
1000,doc_1001,list expand commun foundat across florida set relief fund help impact hurricaneian take action share cfsarasota manateecf colliercffl givecf miamifound,community foundation awareness initiative,2022-09-30 17:51:40+00:00,2,2,,"['florida', 'hurricaneian']"
1001,doc_1002,buzzard remind two surfer alway see ocean storm blow everyon els evacu whatev die wood must worth troubl hurricaneian,jake almond,2022-09-30 17:51:37+00:00,1,0,https://twitter.com/jakealmond/status/1575906225979478018/video/1,['hurricaneian']
1002,doc_1003,hurricaneian approach carolina servproteamsteven readi answer call call us heretohelp likeitneverevenhappen servpro stormreadi,servpro team stevens,2022-09-30 17:51:29+00:00,0,0,https://twitter.com/Servpro_Stevens/status/1575906189900058625/photo/1,"['hurricaneian', 'servproteamstevens', 'heretohelp', 'likeitneverevenhappened', 'servpro', 'stormready']"
1003,doc_1004,want donat hurrican relief first homework chariti expert recommend know exactli give money spend dollar becauseflorida hurricaneian fraudcapit,lesley abravanel 🪩,2022-09-30 17:51:29+00:00,9,7,,"['becauseflorida', 'hurricaneian', 'fraudcapital']"
1004,doc_1005,hey look maga trump didnt biden hurricaneian,c.cel.algo,2022-09-30 17:51:25+00:00,0,0,,"['maga', 'trump', 'biden', 'hurricaneian']"
1005,doc_1006,donor alert charitywatch announc list highli effici account chariti involv effort provid emerg assist aid affect tropic storm ian hurricaneian hurrican,charitywatch tips,2022-09-30 17:51:22+00:00,0,0,https://twitter.com/CWTips/status/1575906160175038464/photo/1,"['hurricaneian', 'hurricane']"
1006,doc_1007,swear social media era peopl gonna live stream funer tiktok southcarolina hurricaneian,rada,2022-09-30 17:51:22+00:00,0,0,https://twitter.com/ThaRebeliouZ/status/1575906159659188225/photo/1,"['tiktok', 'southcarolina', 'hurricaneian']"
